"Tüketici fiyat endeksi ve değişim oranları, 2005-2023",,,,,,,,,,,,
"Index numbers and rate of changes in the consumer price index, 2005-2023",,,,,,,,,,,,
[2003=100],,,,,,,,,,,,
Yıl,Ocak,Şubat,Mart,Nisan,Mayıs,Haziran,Temmuz,Ağustos,Eylül,Ekim,Kasım,Aralık
2011,0.41,1.14,1.57,2.45,4.93,3.43,3.00,3.75,4.53,7.95,9.82,10.45
2012,0.56,1.13,1.55,3.09,2.87,1.95,1.71,2.28,3.34,5.36,5.76,6.16
2013,1.65,1.95,2.63,3.06,3.21,4.00,4.32,4.21,5.01,6.90,6.91,7.40
2014,1.98,2.41,3.57,4.96,5.38,5.70,6.18,6.28,6.43,8.45,8.65,8.17
2015,1.10,1.82,3.03,4.71,5.30,4.76,4.85,5.27,6.21,7.86,8.58,8.81
2016,1.82,1.80,1.75,2.55,3.15,3.63,4.84,4.53,4.72,6.23,6.78,8.53
2017,2.46,3.29,4.34,5.71,6.18,5.89,6.05,6.60,7.29,9.52,11.16,11.92
2018,1.02,1.76,2.77,4.69,6.39,9.17,9.77,12.29,19.37,22.56,20.79,20.30
2019,1.06,1.23,2.27,4.00,4.99,5.01,6.44,7.35,8.42,10.59,11.01,11.84
2020,1.35,1.71,2.29,3.16,4.57,5.75,6.37,7.29,8.33,10.64,13.19,14.60
2021,1.68,2.60,3.71,5.45,6.39,8.45,10.41,11.65,13.04,15.75,19.82,36.08
2022,11.10,16.45,22.81,31.71,35.64,42.35,45.72,47.85,52.40,57.80,62.35,64.27
2023,6.65,10.00,12.52,15.21,,,,,,,,
,Bir önceki yılın aynı ayına göre değişim (%) - Annual rate of change (%),,,,,,,,,,,
2005,9.23,8.69,7.94,8.18,8.70,8.95,7.82,7.91,7.99,7.52,7.61,7.72
2006,7.93,8.15,8.16,8.83,9.86,10.12,11.69,10.26,10.55,9.98,9.86,9.65
2007,9.93,10.16,10.86,10.72,9.23,8.60,6.90,7.39,7.12,7.70,8.40,8.39
2008,8.17,9.10,9.15,9.66,10.74,10.61,12.06,11.77,11.13,11.99,10.76,10.06
2009,9.50,7.73,7.89,6.13,5.24,5.73,5.39,5.33,5.27,5.08,5.53,6.53
2010,8.19,10.13,9.56,10.19,9.10,8.37,7.58,8.33,9.24,8.62,7.29,6.40
2011,4.90,4.16,3.99,4.26,7.17,6.24,6.31,6.65,6.15,7.66,9.48,10.45
2012,10.61,10.43,10.43,11.14,8.28,8.87,9.07,8.88,9.19,7.80,6.37,6.16
2013,7.31,7.03,7.29,6.13,6.51,8.30,8.88,8.17,7.88,7.71,7.32,7.40
2014,7.75,7.89,8.39,9.38,9.66,9.16,9.32,9.54,8.86,8.96,9.15,8.17
2015,7.24,7.55,7.61,7.91,8.09,7.20,6.81,7.14,7.95,7.58,8.10,8.81
2016,9.58,8.78,7.46,6.57,6.58,7.64,8.79,8.05,7.28,7.16,7.00,8.53
2017,9.22,10.13,11.29,11.87,11.72,10.90,9.79,10.68,11.20,11.90,12.98,11.92
2018,10.35,10.26,10.23,10.85,12.15,15.39,15.85,17.90,24.52,25.24,21.62,20.30
2019,20.35,19.67,19.71,19.50,18.71,15.72,16.65,15.01,9.26,8.55,10.56,11.84
2020,12.15,12.37,11.86,10.94,11.39,12.62,11.76,11.77,11.75,11.89,14.03,14.60
2021,14.97,15.61,16.19,17.14,16.59,17.53,18.95,19.25,19.58,19.89,21.31,36.08
2022,48.69,54.44,61.14,69.97,73.50,78.62,79.60,80.21,83.45,85.51,84.39,64.27
2023,57.68,55.18,50.51,43.68,,,,,,,,
,On iki aylık ortalamalara göre değişim (%) - Rate of change in 12 months moving averages (%),,,,,,,,,,,
2005,8.50,8.44,8.40,8.42,8.53,8.69,8.68,8.64,8.63,8.47,8.31,8.18
2006,8.07,8.03,8.05,8.11,8.21,8.32,8.64,8.84,9.05,9.25,9.44,9.60
2007,9.76,9.92,10.15,10.30,10.24,10.11,9.70,9.46,9.17,8.98,8.86,8.76
2008,8.61,8.53,8.40,8.33,8.47,8.64,9.07,9.43,9.76,10.12,10.31,10.44
2009,10.54,10.41,10.29,9.98,9.49,9.08,8.52,7.99,7.52,6.95,6.53,6.25
2010,6.16,6.38,6.53,6.87,7.20,7.41,7.59,7.83,8.16,8.45,8.59,8.57
2011,8.28,7.76,7.29,6.79,6.64,6.47,6.37,6.24,6.00,5.93,6.13,6.47
2012,6.95,7.48,8.02,8.59,8.68,8.89,9.11,9.29,9.53,9.53,9.26,8.89
2013,8.62,8.33,8.08,7.66,7.51,7.47,7.47,7.42,7.32,7.32,7.39,7.49
2014,7.53,7.60,7.70,7.97,8.23,8.31,8.35,8.46,8.54,8.65,8.80,8.85
2015,8.80,8.77,8.70,8.57,8.45,8.28,8.07,7.88,7.80,7.69,7.61,7.67
2016,7.87,7.97,7.96,7.84,7.71,7.74,7.91,7.98,7.92,7.89,7.79,7.78
2017,7.76,7.88,8.21,8.66,9.09,9.36,9.44,9.66,9.98,10.37,10.87,11.14
2018,11.23,11.23,11.14,11.06,11.10,11.49,12.00,12.61,13.75,14.90,15.63,16.33
2019,17.16,17.93,18.70,19.39,19.91,19.88,19.91,19.62,18.27,16.81,15.87,15.18
2020,14.52,13.94,13.33,12.66,12.10,11.88,11.51,11.27,11.47,11.74,12.04,12.28
2021,12.53,12.81,13.18,13.70,14.13,14.55,15.15,15.78,16.42,17.09,17.71,19.60
2022,22.58,25.98,29.88,34.46,39.33,44.54,49.65,54.69,59.91,65.26,70.36,72.31
2023,72.45,71.83,70.20,67.20,,,,,,,,
"TÜİK, Tüketici Fiyat Endeksi, Nisan 2023",,,,,,,,,,,,
"TurkStat, Consumer Price Index, April 2023",,,,,,,,,,,,
